number,author,title,vertices,edges,faces,eps,variables,taco-taco,taco-tortilla,tortilla-tortilla,transitivity,reduced_trans,components,limited,states,component_assignments,setup_sec,solve_sec
270,Daniel BROWN,4x4 D9,120,260,141,8,1232,292,1120,0,4972,2964,13,no limit,20736,|1|2|2|2|2|2|2|2|2|3|3|3|3|,0.0227,0.0019
271,Daniel BROWN,4x4 D10,76,172,97,8,720,192,500,0,2576,1464,13,no limit,20736,|1|2|2|2|2|2|2|2|2|3|3|3|3|,0.0116,0.0007
272,Daniel BROWN,4x4 D11,76,164,89,8,748,296,308,0,3232,1908,5,no limit,81,|1|3|3|3|3|,0.0118,0.0009
273,Daniel BROWN,4x4 D12,76,164,89,8,748,296,308,0,3232,1908,9,no limit,20736,|1|2|2|2|2|6|6|6|6|,0.0143,0.0027
274,Daniel BROWN,4x4 D13,120,260,141,8,1356,352,1092,0,7220,4980,5,no limit,16,|1|2|2|2|2|,0.0251,0.0001
275,Daniel BROWN,4x4 D14,108,228,121,8,1148,228,1112,0,5256,3456,13,no limit,1679616,|1|2|2|2|2|2|2|2|2|9|9|9|9|,0.0226,0.0072
276,Daniel BROWN,4x4 D15,100,212,113,8,1468,420,1184,0,10008,7360,5,no limit,16,|1|2|2|2|2|,0.0285,0.0004
277,Daniel BROWN,4x4 D16,108,228,121,8,1148,228,1112,0,5256,3456,13,no limit,1679616,|1|2|2|2|2|2|2|2|2|9|9|9|9|,0.0223,0.007
278,Daniel BROWN,4x4 D17,104,208,105,8,1124,340,884,0,6448,4416,1,no limit,1,|1|,0.02,0
279,Daniel BROWN,4x4 D18,84,180,97,8,1064,360,664,0,6132,4212,5,no limit,10000,|1|10|10|10|10|,0.0208,0.0087
280,Daniel BROWN,4x4 D19,112,244,133,8,1344,296,1216,0,7504,5344,5,no limit,16,|1|2|2|2|2|,0.0239,0.0001
281,Daniel BROWN,4x4 D20,140,308,169,8,1732,464,1448,0,9400,6436,13,no limit,4096,|1|2|2|2|2|2|2|2|2|2|2|2|2|,0.0336,0.0016
282,Daniel BROWN,4x4 D21,72,148,77,8,676,216,436,0,3144,1988,5,no limit,16,|1|2|2|2|2|,0.0115,0.0011
283,Daniel BROWN,4x4 D22,124,268,145,8,2048,888,1092,0,17412,13096,5,no limit,81,|1|3|3|3|3|,0.0433,0.0022
284,Daniel BROWN,4x4 D23,92,196,105,8,1180,408,760,0,6740,4580,5,no limit,81,|1|3|3|3|3|,0.0231,0.0013
285,Daniel BROWN,4x4 D24,88,184,97,8,680,144,548,0,2140,1176,9,no limit,2560000,|1|4|4|4|4|10|10|10|10|,0.0126,0.0043
286,Daniel BROWN,4x4 D25,120,256,137,8,1356,368,1076,0,7460,5164,5,no limit,256,|1|4|4|4|4|,0.0253,0.003
287,Daniel BROWN,4x4 D26,112,236,125,8,1080,196,1116,0,4188,2524,13,no limit,20736,|1|2|2|2|2|2|2|2|2|3|3|3|3|,0.0205,0.0013
